key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt
space,17.69482,7,0,0,0,22,1,stim_WJ03.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,7,0,1,1,5,1,stim_MJ06.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,6,0,2,2,8,1,stim_MJ09.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,4,0,3,3,36,1,stim_WN07.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,4,4,7,1,stim_MJ08.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,5,5,34,1,stim_WN05.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,6,0,6,6,20,1,stim_WJ01.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,6,0,7,7,13,1,stim_MN04.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,7,0,8,8,9,1,stim_MJ10.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,6,0,9,9,37,1,stim_WN08.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,6,0,10,10,26,1,stim_WJ07.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,7,0,11,11,6,1,stim_MJ07.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,7,0,12,12,30,1,stim_WN01.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,6,0,13,13,1,1,stim_MJ02.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,14,14,38,1,stim_WN09.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,15,15,33,1,stim_WN04.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,4,0,16,16,17,1,stim_MN08.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,6,0,17,17,18,1,stim_MN09.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,18,18,11,1,stim_MN02.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,19,19,14,1,stim_MN05.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,20,20,10,1,stim_MN01.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,21,21,31,1,stim_WN02.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,22,22,16,1,stim_MN07.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,23,23,29,1,stim_WJ10.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,4,0,24,24,27,1,stim_WJ08.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,5,0,25,25,15,1,stim_MN06.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,6,0,26,26,2,1,stim_MJ03.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
,,6,0,27,27,3,1,stim_MJ04.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,SEK,64,male,2021-05-10_14h38.53.966,theaoglinaexperiment,2021.1.4,Win32,60.30635629,IwAR2Cc5bqk5E-q5KuiHMSC8yJ7fnfV4JR0AgD0tX5TtSGrm1YxTb26lJG83E,,
