key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid
space,7.519,6,0,0,0,30,1,stim_WN01.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,4,0,1,1,37,1,stim_WN08.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,5,0,2,2,14,1,stim_MN05.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,7,0,3,3,5,1,stim_MJ06.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,6,0,4,4,32,1,stim_WN03.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,7,0,5,5,4,1,stim_MJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,5,0,6,6,35,1,stim_WN06.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,6,0,7,7,38,1,stim_WN09.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,7,0,8,8,3,1,stim_MJ04.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,7,0,9,9,24,1,stim_WJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
