key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt
space,15.91104,7,0,0,0,26,1,stim_WJ07.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SSM,23,Kvinde,2021-05-10_11h30.40.418,theaoglinaexperiment,2021.1.4,Win32,60.14675809,IwAR0CiFpIo9DXwk4oZE2IPmtCdHQKlAT7i9UtRiKxIaBNA3QK7TRZQmWT_EM,,
,,7,0,1,1,14,1,stim_MN05.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SSM,23,Kvinde,2021-05-10_11h30.40.418,theaoglinaexperiment,2021.1.4,Win32,60.14675809,IwAR0CiFpIo9DXwk4oZE2IPmtCdHQKlAT7i9UtRiKxIaBNA3QK7TRZQmWT_EM,,
,,8,0,2,2,20,1,stim_WJ01.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SSM,23,Kvinde,2021-05-10_11h30.40.418,theaoglinaexperiment,2021.1.4,Win32,60.14675809,IwAR0CiFpIo9DXwk4oZE2IPmtCdHQKlAT7i9UtRiKxIaBNA3QK7TRZQmWT_EM,,
,,8,0,3,3,31,1,stim_WN02.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,SSM,23,Kvinde,2021-05-10_11h30.40.418,theaoglinaexperiment,2021.1.4,Win32,60.14675809,IwAR0CiFpIo9DXwk4oZE2IPmtCdHQKlAT7i9UtRiKxIaBNA3QK7TRZQmWT_EM,,
,,7,0,4,4,32,1,stim_WN03.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SSM,23,Kvinde,2021-05-10_11h30.40.418,theaoglinaexperiment,2021.1.4,Win32,60.14675809,IwAR0CiFpIo9DXwk4oZE2IPmtCdHQKlAT7i9UtRiKxIaBNA3QK7TRZQmWT_EM,,
,,6,0,5,5,0,1,stim_MJ01.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SSM,23,Kvinde,2021-05-10_11h30.40.418,theaoglinaexperiment,2021.1.4,Win32,60.14675809,IwAR0CiFpIo9DXwk4oZE2IPmtCdHQKlAT7i9UtRiKxIaBNA3QK7TRZQmWT_EM,,
,,4,0,6,6,16,1,stim_MN07.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SSM,23,Kvinde,2021-05-10_11h30.40.418,theaoglinaexperiment,2021.1.4,Win32,60.14675809,IwAR0CiFpIo9DXwk4oZE2IPmtCdHQKlAT7i9UtRiKxIaBNA3QK7TRZQmWT_EM,,
,,6,0,7,7,10,1,stim_MN01.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SSM,23,Kvinde,2021-05-10_11h30.40.418,theaoglinaexperiment,2021.1.4,Win32,60.14675809,IwAR0CiFpIo9DXwk4oZE2IPmtCdHQKlAT7i9UtRiKxIaBNA3QK7TRZQmWT_EM,,
,,7,0,8,8,17,1,stim_MN08.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SSM,23,Kvinde,2021-05-10_11h30.40.418,theaoglinaexperiment,2021.1.4,Win32,60.14675809,IwAR0CiFpIo9DXwk4oZE2IPmtCdHQKlAT7i9UtRiKxIaBNA3QK7TRZQmWT_EM,,
,,8,0,9,9,24,1,stim_WJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SSM,23,Kvinde,2021-05-10_11h30.40.418,theaoglinaexperiment,2021.1.4,Win32,60.14675809,IwAR0CiFpIo9DXwk4oZE2IPmtCdHQKlAT7i9UtRiKxIaBNA3QK7TRZQmWT_EM,,
